time,Open
1597968000,337.920.013
1598227200,342.119.995
1598313600,343.529.999
1598400000,344.760.010
1598486400,348.510.010
1598572800,349.440.002
1598832000,350.350.006
1598918400,350.209.991
1599004800,354.670.013
1599091200,355.869.995
1599177600,346.130.005
1599523200,336.709.991
1599609600,337.549.988
1599696000,341.820.007
1599782400,335.820.007
1600041600,337.489.990
1600128000,341.119.995
1600214400,341.510.010
1600300800,333.559.998
1600387200,335.369.995
1600646400,325.700.012
1600732800,328.570.007
1600819200,330.899.994
1600905600,321.220.001
1600992000,322.579.987
1601251200,333.220.001
1601337600,333.970.001
1601424000,333.089.996
1601510400,337.690.002
1601596800,331.700.012
1601856000,336.059.998
1601942400,339.910.004
1602028800,338.119.995
1602115200,342.850.006
1602201600,345.559.998
1602460800,349.589.996
1602547200,352.279.999
1602633600,350.750.000
1602720000,343.709.991
1602806400,348.959.991
1603065600,348.649.994
1603152000,343.459.991
1603238400,343.329.987
1603324800,342.959.991
1603411200,345.929.993
1603670400,342.130.005
1603756800,339.760.010
1603843200,332.100.006
1603929600,326.910.004
1604016000,328.279.999
1604275200,330.200.012
1604361600,333.690.002
1604448000,340.859.985
1604534400,349.239.990
1604620800,349.929.993
1604880000,363.970.001
1604966400,353.489.990
1605052800,356.399.994
1605139200,355.579.987
1605225600,355.269.989
1605484800,360.980.011
1605571200,359.970.001
1605657600,360.910.004
1605744000,355.600.006
1605830400,357.500.000
1606089600,357.279.999
1606176000,360.209.991
1606262400,363.130.005
1606435200,363.839.996
1606694400,362.829.987
1606780800,365.570.007
1606867200,364.820.007
1606953600,366.679.993
1607040000,367.320.007
1607299200,369.019.989
1607385600,367.720.001
1607472000,370.880.005
1607558400,365.369.995
1607644800,364.899.994
1607904000,368.640.015
1607990400,367.399.994
1608076800,369.820.007
1608163200,371.940.002
1608249600,370.970.001
1608508800,364.970.001
1608595200,368.209.991
1608681600,368.279.999
1608768000,368.079.987
1609113600,371.739.990
1609200000,373.809.998
1609286400,372.339.996
1609372800,371.779.999
1609718400,375.309.998
1609804800,368.100.006
1609891200,369.709.991
1609977600,376.100.006
1610064000,380.589.996
1610323200,377.850.006
1610409600,378.890.015
1610496000,378.690.002
1610582400,380.589.996
1610668800,376.720.001
1611014400,378.339.996
1611100800,381.109.985
1611187200,384.489.990
1611273600,382.250.000
1611532800,383.670.013
1611619200,385.410.004
1611705600,380.220.001
1611792000,376.359.985
1611878400,375.630.005
1612137600,373.720.001
1612224000,379.649.994
1612310400,382.440.002
1612396800,382.959.991
1612483200,388.200.012
1612742400,389.269.989
1612828800,389.609.985
1612915200,392.119.995
1613001600,391.239.990
1613088000,389.850.006
1613433600,393.959.991
1613520000,390.420.013
1613606400,389.589.996
1613692800,392.070.007
1613952000,387.059.998
1614038400,384.660.004
1614124800,386.329.987
1614211200,390.410.004
1614297600,384.350.006
1614556800,385.589.996
1614643200,389.820.007
1614729600,385.790.009
1614816000,381.220.001
1614902400,380.459.991
1615161600,384.660.004
1615248000,385.850.006
1615334400,389.690.002
1615420800,392.230.011
1615507200,392.070.007
1615766400,394.329.987
1615852800,397.070.007
1615939200,394.529.999
1616025600,394.480.011
1616112000,389.880.005
1616371200,390.029.999
1616457600,391.910.004
1616544000,391.000.000
1616630400,385.980.011
1616716800,390.929.993
1616976000,394.399.994
1617062400,394.420.013
1617148800,395.339.996
